board_name,url,Overall Rating,Riding Style,Riding Level,Fits Boot size (US),Manufactured in,Shape,Camber Profile,Stance,Approx. Weight,Powder,Turning Experience,Carving,Speed,Uneven Terrain,Switch,Jumps,Jibbing,Pipe,year,gender,id
Capita Horrorscope,https://thegoodride.com/snowboard-reviews/capita-horrorscope-2017-2019-snowboard-review,Liked it!,Jib / Street,Beginner - Expert,"8-10, 10-12",Austria by The Mothership,True Twin,Flat to Rocker,Centered,Feels Normal,Poor,Average,Average,Average,Good,Great,Good,Great,Average,"['2017', '2019']",mens,d7Ns9BfzvsKaRA27wvay47wzQHU=
Capita  Indoor Survival,https://thegoodride.com/snowboard-reviews/capita-indoor-survival-2010-2018-snowboard-review,Pretty Good,All Mountain Freestyle,Intermediate - Expert,8-10,Austria,True Twin,Flat to Rocker,Centered,Feels Heavy,Average,Average,Average,Good,Great,Great,Average,Good,Average,"['2010', '2018']",mens,iTvTOEftH9jpok30FW7ujraY3ro=
Capita Kazu Kokubo Pro,https://thegoodride.com/snowboard-reviews/capita-kazu-kokubo-pro-2017-2019-snowboard-review,Pretty Good,Freeride,Advanced - Expert,8-10,Austria,Tapered Directional,Directional Camber,Setback -12.5mm,Feels Normal,Good,Good,Good,Great,Good,Good,Good,Average,Good,"['2017', '2019']",mens,M+qx4fWPTwZn2wcfQAIRGO1kgsA=
Capita Mercury,https://thegoodride.com/snowboard-reviews/capita-mercury-2016-2019-snowboard-review,Loved it!,All Mountain,Intermediate - Expert,"8-10, 10-12",Austria at The Mothership,Directional,Hybrid Camber,Setback -12.5mm,Feels Normal,Good,Good,Good,Great,Good,Good,Good,Average,Great,"['2016', '2019']",mens,jpzWjT5q+RcT3B0k5+ixjWqrBSg=
Capita Navigator,https://thegoodride.com/snowboard-reviews/capita-navigator-2019-snowboard-review,Liked it!,Powder,Intermediate - Expert,"< 8, 8-10, 10-12",Austria by The Mothership,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Normal,Great,Good,Average,Good,Great,Average,Good,Average,Average,['2019'],mens,p/oB35cjQojH5BXkFW4XUBPaAw0=
Capita Outerspace Living,https://thegoodride.com/snowboard-reviews/capita-outerspace-living-2017-2020-snowboard-review,Loved it!,All Mountain Freestyle,Beginner - Expert,"< 8, 8-10, 10-12",Austria by The Mothership,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Good,Good,Average,Great,Great,Good,Good,Good,"['2017', '2020']",mens,QqkUxsaxwIlvqdyGKozMXQ5TfxI=
Capita Outsiders,https://thegoodride.com/snowboard-reviews/capita-outsiders-2014-2020-snowboard-review,None,Freestyle,Advanced - Expert,8-10,Austria by The Mothership,True Twin,Mostly Camber,Centered,Feels Normal,Poor,Good,Good,Good,Great,Great,Great,Good,Good,"['2014', '2020']",mens,pB0UHGPK+dRTPNoAOMzGgFj7UIY=
Capita Scott Stevens Pro,https://thegoodride.com/snowboard-reviews/capita-scott-stevens-pro-2015-2019-review,Loved it!,Jib / Street,Intermediate - Expert,8-10,Austria at The Mothership,True Twin,Flat to Rocker,Centered,Feels Light,Poor,Average,Average,Average,Good,Great,Average,Excellent,Average,"['2015', '2019']",mens,sP/Kb5AaTdRjbP9RgCf791Efia4=
Capita Spring Break Powder 151 Mini Tree Hunter,https://thegoodride.com/snowboard-reviews/capita-spring-break-powder-151-mini-tree-hunter-snowboard-review,None,Powder,Intermediate - Expert,8-10,Austria by The Mothership,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Light,Great,Average,Average,Good,Good,Average,Good,Average,Average,[],mens,S8gropbuB7uQlQw/PrXyvWcTOJc=
Capita Spring Break Powder 161 Tree Hunter,https://thegoodride.com/snowboard-reviews/capita-spring-break-powder-161-tree-hunter-snowboard-review,None,Powder,Advanced - Expert,"8-10, 10-12",Austria,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Light,Excellent,Average,Poor,Good,Great,Average,Good,Poor,Poor,[],mens,Tk8N6im9OPdzDpSgyZcJXfKiJjE=
Capita Spring Break Powder 167 Night Hawk,https://thegoodride.com/snowboard-reviews/capita-spring-break-powder-167-night-hawk-snowboard-review,None,Powder,Advanced - Expert,"8-10, 10-12",Austria by The Mothership,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Normal,Excellent,Average,Average,Great,Average,Average,Good,Poor,Poor,[],mens,6hjMIVMXo/t6CjHHklCHwc3SHzs=
Capita Spring Break Powder Drifter 154,https://thegoodride.com/snowboard-reviews/capita-spring-break-powder-drifter-154-snowboard-review,None,Powder,Intermediate - Expert,8-10,Austria by The Mothership,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Light,Great,Average,Average,Good,Great,Average,Good,Good,Average,[],mens,j1n+9ptceG4aiYukdeJ6s5ZVubQ=
Capita Spring Break Powder Glider,https://thegoodride.com/snowboard-reviews/capita-spring-break-powder-glider-snowboard-review,Loved it!,Powder,Intermediate - Expert,8-10,Austria at The Mothership,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Light,Excellent,Good,Average,Good,Great,Poor,Good,Average,Average,[],mens,ly4SMvUll38oGbFwT+XlowGhIos=
Capita Spring Break Powder Racer,https://thegoodride.com/snowboard-reviews/capita-spring-break-powder-racer-snowboard-review,None,Powder,Beginner - Expert,"8-10, 10-12",Austria by The Mothership,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Normal,Great,Average,Average,Good,Great,Average,Good,Good,Average,[],mens,6U3D0vju3MOl8flpY0rS003oYLo=
Capita Spring Break Powder Twin,https://thegoodride.com/snowboard-reviews/capita-spring-break-powder-twin-2021-review,None,Powder,Advanced - Expert,"8-10, 10-12, > 12",Austria by The Mothership,True Twin,Hybrid Camber,Centered,Feels Heavy,Great,Good,Good,Great,Good,Great,Great,Average,Average,['2021'],mens,HgmpfNlI3puDjTh/DKC4Uf4rM2k=
Capita Spring Break Slush Slasher,https://thegoodride.com/snowboard-reviews/capita-spring-break-slush-slasher-2017-2020-snowboard-review,Liked it!,Powder,Intermediate - Expert,8-10,Austria by The Mothership,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Normal,Excellent,Average,Average,Good,Great,Poor,Average,Average,Average,"['2017', '2020']",mens,BMxvz62+spBDKOwyGx+xQDGNty8=
Capita Spring Break Twin,https://thegoodride.com/snowboard-reviews/capita-spring-break-twin-2017-2018-snowboard-review,Liked it!,All Mountain Freestyle,Intermediate - Expert,8-10,Austria by The Mothership,Asymmetrical Twin,Hybrid Camber,Centered,Feels Light,Average,Good,Good,Good,Good,Excellent,Great,Average,Good,"['2017', '2018']",mens,j6nQ4drYkt15h81E7uaONuZphu0=
Capita Super DOA,https://thegoodride.com/snowboard-reviews/capita-super-doa-2020-snowboard-review,None,All Mountain Freestyle,Advanced - Expert,8-10,Austria at The Mothership,True Twin,Hybrid Camber,Centered,Feels Light,Poor,Average,Average,Good,Good,Great,Excellent,Average,Good,['2020'],mens,sqphjI2avWlwoQUbeuZd0s8TX64=
Capita Supernova,https://thegoodride.com/snowboard-reviews/capita-supernova-2020-snowboard-review,None,All Mountain,Advanced - Expert,"< 8, 8-10",Austria by The Mothership,Directional,Directional Camber,Setback -12.5mm,Feels Normal,Good,Great,Great,Great,Great,Good,Great,Average,Good,['2020'],mens,FllkkUXB76e8HVlsImIFgY7flGo=
Capita Thunderstick,https://thegoodride.com/snowboard-reviews/capita-thunderstick-2018-snowboard-review,Liked it!,Freestyle,Advanced - Expert,8-10,Austria at the Mothership,True Twin,Mostly Camber,Centered,Feels Normal,Poor,Average,Good,Average,Good,Great,Good,Great,Good,['2018'],mens,Nq7CssPsjNqSOtqwLxlY5768gW0=
Capita Ultrafear,https://thegoodride.com/snowboard-reviews/capita-ultrafear-2012-2019-snowboard-review,Liked it!,Jib / Street,Intermediate - Expert,"8-10, 10-12",Austria at The Mothership,True Twin,Flat to Rocker,Centered,Feels Normal,Poor,Average,Average,Average,Good,Great,Average,Excellent,Average,"['2012', '2019']",mens,LzZkNqVEKkml85obPf0aGRzR7E0=
Capita Warpspeed,https://thegoodride.com/snowboard-reviews/capita-warpspeed-2018-2020-snowboard-review,Liked it!,All Mountain,Advanced - Expert,"10-12, > 12",Austria by The Mothership,Directional,Directional Camber,Setback -12.5mm,Feels Normal,Good,Good,Good,Great,Great,Good,Great,Average,Good,"['2018', '2020']",mens,8t7Fm24XUvvooubvCJuZWENHTX0=
D-Day Chris Roach,https://thegoodride.com/snowboard-reviews/d-day-chris-roach-snowboard-review-and-buying-advice,Liked it!,Freeride,Advanced - Expert,8-10,China,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Good,Great,Average,Good,Average,Good,[],mens,mPuSEoCmVTWHp2tWb2uIB/epda0=
D-Day D-Dayve,https://thegoodride.com/snowboard-reviews/d-day-d-dayve-snowboard-review-and-buying-advice,Liked it!,All Mountain Freestyle,Advanced - Expert,"8-10, 10-12",China,Directional Twin,Traditional Camber,Centered,Feels Normal,Poor,Great,Great,Good,Average,Great,Great,Average,Great,[],mens,Td4mfJpK7uPjFx+395DLsT2rFDQ=
D-Day Death Card,https://thegoodride.com/snowboard-reviews/d-day-death-card-snowboard-review-and-buying-advice,Liked it!,Alternative Freeride,Advanced - Expert,8-10,China,Tapered Directional,Directional Camber,Setback over 20mm,None,Great,Great,Great,Great,Good,Poor,Average,Poor,Average,[],mens,ZACVjCBNwkhtryb5RieUiGVrmYs=
DC HR,https://thegoodride.com/snowboard-reviews/dc-hr-2019-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,"8-10, 10-12",Austria by The Mothership,Tapered Directional,Directional Camber,Setback over 20mm,Feels Light,Great,Good,Good,Good,Good,Poor,Good,Average,Average,['2019'],mens,lB7h2rSfdgJU0s/LrWgdqMMhgpo=
DC Mega,https://thegoodride.com/snowboard-reviews/dc-mega-2013-2019-snowboard-review,Liked it!,All Mountain Freestyle,Advanced - Expert,"8-10, 10-12",Austria by The Mothership,True Twin,Mostly Camber,Centered,Feels Light,Poor,Good,Good,Good,Average,Great,Great,Average,Good,"['2013', '2019']",mens,wwXpIuiN1tgnuE+mwlEUD0NlYaA=
DC Supernatant,https://thegoodride.com/snowboard-reviews/dc-supernatant-2017-2019-snowboard-review,Pretty Good,Freeride,Advanced - Expert,"8-10, 10-12",Austria by The Mothership,Tapered Directional,Directional Camber,Setback -10mm,Feels Normal,Good,Great,Good,Great,Average,Average,Good,Poor,Good,"['2017', '2019']",mens,Tz0hpii0y7jIbqMsM+55QlXkFjg=
DC The 156,https://thegoodride.com/snowboard-reviews/dc-the-156-2019-snowboard-review,Liked it!,All Mountain Freestyle,Advanced - Expert,8-10,Austria by The Mothership,True Twin,Traditional Camber,Centered,Feels Light,Poor,Great,Great,Good,Good,Great,Great,Good,Good,['2019'],mens,cu8psiUP/+hZ2Gl0RbcfFllAKJI=
Decathlon All Road 500,https://thegoodride.com/snowboard-reviews/decathlon-all-road-500-2020-snowboard-review,None,Freeride,Advanced - Expert,10-12,None,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Good,Good,Good,Good,Good,Good,Good,Average,Good,['2020'],mens,xBq6N9urznEE+USz0rtGTnrbGIA=
Decathlon Bullwhip 300 Evo,https://thegoodride.com/snowboard-reviews/decathlon-bullwhip-300-evo-2020-snowboard-review,None,None,Advanced - Expert,"< 8, 8-10",None,Directional Twin,Traditional Camber,Centered,Feels Normal,Poor,Good,Good,Average,Average,Great,Good,Average,Good,['2020'],mens,rNLuR1DlDywRItFsH5u+VfNrHXQ=
Decathlon Bullwhip 700,https://thegoodride.com/snowboard-reviews/decathlon-bullwhip-700-snowboard-review,None,Freeride,Advanced - Expert,"8-10, 10-12",None,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Good,Good,Good,Good,Good,Good,Good,Poor,Good,[],mens,v7MzO/yCZENPkaRLY1ckR+SoHZw=
Decathlon Endzone 500,https://thegoodride.com/snowboard-reviews/decathlon-endzone-500-snowboard-review,None,Freestyle,Beginner - Expert,8-10,None,True Twin,Flat to Rocker,Centered,Feels Normal,Average,Average,Average,Average,Good,Great,Good,Great,Good,[],mens,hENLDlugfX680aMndCTcOI9FMLo=
Decathlon Endzone Park&Ride,https://thegoodride.com/snowboard-reviews/decathlon-endzone-park&ride-2020-snowboard-review,None,All Mountain,Intermediate - Expert,8-10,None,Directional Twin,Hybrid Camber,Setback -20mm,Feels Normal,Good,Good,Good,Good,Good,Great,Good,Average,Average,['2020'],mens,0gcpV5tMUxTkBmflkt1fMe7XHto=
Dinosaurs Will Die Kwon,https://thegoodride.com/snowboard-reviews/dinosaurs-will-die-kwon-2017-2015-snowboard-review,Liked it!,All Mountain Freestyle,Intermediate - Expert,8-10,Austria,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Good,Good,Good,Good,Great,Great,Good,Great,"['2017', '2015']",mens,XnRiixQ6aEAW6yWBy/ZzC/7hjQI=
Dinosaurs Will Die Rat,https://thegoodride.com/snowboard-reviews/dinosaurs-will-die-rat-2015-2019-snowboard-review,Liked it!,Jib / Street,Beginner - Expert,8-10,Austria,True Twin,Flat to Rocker,Centered,Feels Normal,Average,Average,Average,Average,Great,Great,Good,Excellent,Average,"['2015', '2019']",mens,eMXV8eUwRif+G7uROIc1hj0FonE=
Dinosaurs Will Die Wizard Stick,https://thegoodride.com/snowboard-reviews/dinosaurs-will-die-wizard-stick-snowboard-review,Liked it!,All Mountain,Intermediate - Expert,8-10,Austria,Directional,Hybrid Camber,Setback -20mm,Feels Normal,Good,Good,Good,Good,Great,Good,Good,Good,Good,[],mens,SKbpzdQata6qen2uMtsF/h0Jza4=
Elevated Surf Craft Goldfish,https://thegoodride.com/snowboard-reviews/elevated-surf-craft-goldfish-2020-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",China,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Good,Good,Poor,Average,Poor,Good,['2020'],mens,UQzAK+do7r9Djw0m86HHacw3uac=
Elevated Surf Craft Redtail Hawk,https://thegoodride.com/snowboard-reviews/elevated-surf-craft-redtail-hawk-2020-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",China,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Normal,Great,Great,Great,Good,Good,Poor,Average,Poor,Average,['2020'],mens,GA/r9MzGFS1QwsXvWrg1bb/rBr8=
Elevated Surf Craft Shortboard,https://thegoodride.com/snowboard-reviews/elevated-surf-craft-shortboard-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",China,None,Hybrid Camber,Setback over 20mm,Feels Normal,Good,Good,Good,Good,Average,Average,Good,Average,Average,[],mens,5qaf3lE7bu8BsiLk6mvCxN76uNU=
Elevated Surf Craft Step-Up,https://thegoodride.com/snowboard-reviews/elevated-surf-craft-step-up-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",China,None,Hybrid Camber,Setback over 20mm,Feels Normal,Good,Good,Good,Good,Good,Average,Good,Poor,Average,[],mens,M4H3v8xqHSIcHzU1gsUZW4I/iCk=
Endeavor Alpha,https://thegoodride.com/snowboard-reviews/endeavor-alpha-2020-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",China,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Poor,Excellent,Excellent,Great,Average,Average,Good,Poor,Poor,['2020'],mens,mzRpK7NNgBYZMx6EhSpe2bN8VsI=
Endeavor Archetype,https://thegoodride.com/snowboard-reviews/endeavor-archetype-2020-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",China,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Good,Average,Great,Poor,Good,['2020'],mens,h0/GmTP33QH9TLHk6Rx6UKPOL8Q=
Endeavor BOD,https://thegoodride.com/snowboard-reviews/endeavor-bod-2020-snowboard-review,None,All Mountain Freestyle,Intermediate - Expert,"< 8, 8-10, 10-12",China,Directional Twin,Mostly Camber,Centered,Feels Normal,Average,Great,Great,Good,Good,Great,Great,Good,Good,['2020'],mens,W6pr2vOiQUdy6g8bPWRElp4LIZM=
Endeavor Clout,https://thegoodride.com/snowboard-reviews/endeavor-clout-2020-snowboard-review,None,All Mountain,Intermediate - Expert,"< 8, 8-10, 10-12",China,Directional Twin,Mostly Camber,Centered,Feels Normal,Average,Great,Great,Good,Good,Great,Great,Average,Good,['2020'],mens,I+Hj3agwlkzvnhh56gi5FfdO3io=
Endeavor Color,https://thegoodride.com/snowboard-reviews/endeavor-color-2013-2018-snowboard-review,Liked it!,Freestyle,Intermediate - Expert,8-10,China,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Good,Average,Average,Good,Great,Good,Good,Good,"['2013', '2018']",mens,wkj15b4D3T32z+H4qhSWTw4Eut0=
Endeavor Live,https://thegoodride.com/snowboard-reviews/endeavor-live-2020-snowboard-review,None,All Mountain Freestyle,Advanced - Expert,"< 8, 8-10, 10-12",China,Directional Twin,Mostly Camber,Centered,Feels Normal,Average,Great,Great,Great,Good,Great,Great,Average,Great,['2020'],mens,+cQrHQMjaWg6AOGFQMMXjCgSOaM=
Endeavor Maverick,https://thegoodride.com/snowboard-reviews/endeavor-maverick-2018-2020-snowboard-review,Liked it!,Freeride,Intermediate - Expert,"8-10, 10-12",China,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Light,Great,Great,Great,Great,Great,Good,Great,Poor,Great,"['2018', '2020']",mens,qdYAV6nBt4WkzU16Hhb5wYZ8ktA=
Endeavor New Standard,https://thegoodride.com/snowboard-reviews/endeavor-new-standard-2018-snowboard-review,Liked it!,Freestyle,Beginner - Expert,"8-10, 10-12",None,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Good,Good,Average,Good,Great,Good,Great,Average,['2018'],mens,n6MJn177Q2bksNDgCkrBJcOmmoA=
Endeavor Pioneer,https://thegoodride.com/snowboard-reviews/endeavor-pioneer-2020-snowboard-review,None,All Mountain,Intermediate - Expert,"< 8, 8-10, 10-12",China,Directional Twin,Hybrid Camber,Centered,Feels Normal,Good,Great,Great,Great,Great,Great,Great,Average,Great,['2020'],mens,IMWX7uJpHco1n3crL0FknFkPsMU=
Endeavor Ranger,https://thegoodride.com/snowboard-reviews/endeavor-ranger-2020-snowboard-review,None,All Mountain,Intermediate - Expert,"< 8, 8-10, 10-12",China,Directional Twin,Hybrid Camber,Centered,Feels Normal,Good,Great,Great,Great,Great,Great,Great,Average,Great,['2020'],mens,MjFlpi2LsAH/DOEg9hcO48jj9MA=
Endeavor Scout,https://thegoodride.com/snowboard-reviews/endeavor-scout-2018-2020-snowboard-review,None,Alternative Freeride,Intermediate - Expert,"8-10, 10-12",China,Tapered Directional,Directional Camber,Centered,Feels Light,Great,Great,Great,Great,Good,Average,Great,Average,Great,"['2018', '2020']",mens,acM5MRtnGv2XHo1VjYwotBlOZPE=
Gentemstick Barracuda HP,https://thegoodride.com/snowboard-reviews/gentemstick-barracuda-hp-2020-snowboard-review,None,Alternative Freeride,Advanced - Expert,8-10,China,Tapered Directional,Hybrid Camber,Centered,Feels Light,Excellent,Good,Good,Good,Good,Poor,Average,Poor,Good,['2020'],mens,Am4i2PYDlBXwefCGMcmqy+c4m18=
Gentemstick Barracuda,https://thegoodride.com/snowboard-reviews/gentemstick-barracuda-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",None,Tapered Directional,Directional Camber,Setback -10mm,Feels Light,Excellent,Great,Good,Good,Good,Poor,Average,Poor,Average,[],mens,H37aEyx2klueT0eJn23f1aWdaFs=
Gentemstick Chaser,https://thegoodride.com/snowboard-reviews/gentemstick-chaser-2020-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",China,Tapered Directional,Hybrid Camber,Centered,Feels Light,Great,Great,Great,Good,Good,Poor,Average,Poor,Average,['2020'],mens,rXe40yyjY/tzmN3Z+580OqA8Nbk=
Gentemstick Chaser HP,https://thegoodride.com/snowboard-reviews/gentemstick-chaser-hp-2019-2020-snowboard-review,Pretty Good,Alternative Freeride,Advanced - Expert,"< 8, 8-10",None,Tapered Directional,Directional Camber,Centered,Feels Light,Great,Great,Great,Average,Good,Poor,Average,Poor,Average,"['2019', '2020']",mens,MdrAFf4Y4nXsrIlONe7PUuCWrDI=
Gentemstick Giant Mantaray,https://thegoodride.com/snowboard-reviews/gentemstick-giant-mantaray-snowboard-review-and-buying-advice,Liked it!,Alternative Freeride,Advanced - Expert,"8-10, 10-12",China,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Good,Great,Poor,Average,Average,Poor,[],mens,TP7zauEBUxKVDXQ2MBYpRV+tWEA=
Gentemstick Hornet,https://thegoodride.com/snowboard-reviews/gentemstick-hornet-snowboard-review,Pretty Good,Alternative Freeride,Advanced - Expert,"< 8, 8-10",None,Tapered Directional,Directional Camber,Setback over 20mm,Feels Light,Great,Great,Great,Average,Average,Poor,Average,Poor,Average,[],mens,+VDi/g/1nh4oNkdgJg+w3rGhNdE=
Gentemstick Independentstick,https://thegoodride.com/snowboard-reviews/gentemstick-independentstick-snowboard-review,Liked it!,All Mountain,Intermediate - Expert,8-10,China,Directional Twin,Hybrid Camber,Setback -20mm,Feels Normal,Good,Good,Great,Great,Great,Great,Great,Average,Great,[],mens,zukeWNlT8pcKRCQPLE11iF42PPk=
Gentemstick Mantaray 156,https://thegoodride.com/snowboard-reviews/gentemstick-mantaray-156-2019-2020-snowboard-review,Loved it!,Alternative Freeride,Advanced - Expert,8-10,China,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Good,Great,Average,Good,Poor,Good,"['2019', '2020']",mens,e0ZZckm0F+Sr0QcOPh2yZ4ttDoQ=
Gentemstick Mantaray,https://thegoodride.com/snowboard-reviews/gentemstick-mantaray-review,Liked it!,Alternative Freeride,Advanced - Expert,8-10,China,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Great,Poor,Average,Poor,Average,[],mens,lIttRA3r99W6bauqoD8AzxF5NY0=
Gentemstick Mountain Racer,https://thegoodride.com/snowboard-reviews/gentemstick-mountain-racer-snowboard-review,Pretty Good,Alternative Freeride,Intermediate - Expert,"< 8, 8-10",None,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Normal,Good,Average,Average,Great,Average,Poor,Average,Average,Average,[],mens,nL03eaSIsUWUKMnLC6zKwdCQ4yY=
Gentemstick Rocket Fish,https://thegoodride.com/snowboard-reviews/gentemstick-rocket-fish-2015-2020-snowboard-review,It´s OK,Alternative Freeride,Expert,"8-10, 10-12",China,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Light,Excellent,Good,Good,Average,Average,Poor,Average,Poor,Average,"['2015', '2020']",mens,WgqVMv/HM0smTwUB8eWzPNVjKHQ=
Gentemstick Rocket Fish HP,https://thegoodride.com/snowboard-reviews/gentemstick-rocket-fish-hp-2015-2020-snowboard-review,It´s OK,Alternative Freeride,Advanced - Expert,8-10,China,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Light,Excellent,Good,Good,Average,Average,Poor,Average,Poor,Average,"['2015', '2020']",mens,pK8ssh9YR2hpWTSob5sByUf+soU=
Gentemstick Spoonfish 152,https://thegoodride.com/snowboard-reviews/gentemstick-spoonfish-152-2015-2019-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,"< 8, 8-10",China,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Excellent,Great,Good,Great,Poor,Average,Poor,Good,"['2015', '2019']",mens,MlROghUy+a+MXuPrmqNqOnDw3c4=
Gentemstick Spoonfish,https://thegoodride.com/snowboard-reviews/gentemstick-spoonfish-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,8-10,China,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Great,Poor,Average,Poor,Average,[],mens,+o7hxqAh4MGAAEj/020+dY+E5Lo=
Gentemstick Stingray,https://thegoodride.com/snowboard-reviews/gentemstick-stingray-2015-2019-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,8-10,China,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Average,Average,Good,Poor,Good,"['2015', '2019']",mens,22Bg4mVNfFAH7TqPNuy85HvYhKk=
Gentemstick XY,https://thegoodride.com/snowboard-reviews/gentemstick-xy-2019-snowboard-review,Pretty Good,Alternative Freeride,Advanced - Expert,"8-10, 10-12",China,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Good,Average,Good,Good,Poor,Good,Poor,Average,['2019'],mens,tfGmbKYKnB5QB6dvSPrkZPHTobY=
Gentemstick Zephyr,https://thegoodride.com/snowboard-reviews/gentemstick-zephyr-snowboard-review-and-buying-advice,Pretty Good,Alternative Freeride,Advanced - Expert,8-10,China,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Great,Good,Good,Great,Good,Poor,Average,Poor,Poor,[],mens,F+hIbLh4Ex8Zn7eL+kRtCwSKJCM=
Gilson Fly,https://thegoodride.com/snowboard-reviews/gilson-fly-2020-snowboard-review,None,Alternative Freeride,Intermediate - Expert,8-10,USA by Gilson,Directional,Directional Camber,Setback over 20mm,Feels Heavy,Great,Good,Good,Good,Good,Poor,Average,Average,Average,['2020'],mens,AVnaV5cM2AbohwJueiFXkclMgfQ=
Gilson Pioneer,https://thegoodride.com/snowboard-reviews/gilson-pioneer-2020-snowboard-review,None,All Mountain,Intermediate - Expert,"< 8, 8-10, > 12",USA by Gilson,True Twin,Mostly Camber,Centered,Feels Heavy,Good,Good,Good,Good,Good,Great,Good,Good,Good,['2020'],mens,9MYEFWFK3LD4YXaHzbOKg3dDwyA=
Gnu 4,https://thegoodride.com/snowboard-reviews/gnu-4-2020-snowboard-review,None,All Mountain,Advanced - Expert,"8-10, 10-12",USA by Mervin,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Average,Great,Great,Great,Good,Good,Great,Average,Great,['2020'],mens,xslH2n1sbH9qZDZUIVf3DAGJ31o=
Gnu Antigravity,https://thegoodride.com/snowboard-reviews/gnu-antigravity-2019-snowboard-review,Liked it!,Freeride,Advanced - Expert,"8-10, 10-12",None,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Good,Great,Good,Good,Good,Great,['2019'],mens,G3E4iouCRYyIX5RbnmRXmr0PCeo=
Gnu Billy Goat,https://thegoodride.com/snowboard-reviews/gnu-billy-goat-2010-2021-snowboard-review,Liked it!,All Mountain,Advanced - Expert,8-10,USA by Mervin,Directional,Mostly Camber,Setback -20mm,Feels Normal,Good,Great,Great,Great,Good,Good,Great,Average,Great,"['2010', '2021']",mens,JPb5BUTHBH0TorRFzHgFQOLbfHQ=
Gnu Carbon Credit Asym,https://thegoodride.com/snowboard-reviews/gnu-carbon-credit-asym-2017-2019-snowboard-review,Liked it!,Freestyle,Beginner - Expert,"< 8, 8-10, 10-12, > 12",USA by Mervin,Asymmetrical Twin,Continuous Rocker,Centered,Feels Normal,Average,Good,Average,Average,Good,Excellent,Good,Good,Good,"['2017', '2019']",mens,8k24oQxQBdykvT44H9ecvWBnULc=
Gnu Fun Guy,https://thegoodride.com/snowboard-reviews/gnu-fun-guy-2020-2021-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",USA by Mervin,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Good,Average,Good,Poor,Average,"['2020', '2021']",mens,EXNn8EDeuRe9KXqbgCjTzjLAZoM=
